query,source,author,title,description,content,url,published_at,text,sentiment
artificial intelligence,The New York Times,By Jonathan Wolfe,Jimmy Carter’s legacy,"Plus, the search for answers on the Jeju Air crash. Here’s the latest at the end of Monday.","Plus, the search for answers on the Jeju Air crash. Here’s the latest at the end of Monday.",https://www.nytimes.com/2024/12/30/briefing/jimmy-carter-south-korea-plane-crash.html,2024-12-30T22:10:07Z,"Jimmy Carter’s legacy. Plus, the search for answers on the Jeju Air crash. Here’s the latest at the end of Monday.. Plus, the search for answers on the Jeju Air crash. Here’s the latest at the end of Monday.",0.5
artificial intelligence,The New York Times,"By Maggie Haberman, Jonathan Swan and Ryan Mac",How Elon Musk Has Planted Himself Almost Literally at Trump’s Doorstep,"For much of the period since Election Day, the billionaire has been staying at a $2,000-a-night cottage at Mar-a-Lago, giving him easy access to the president-elect.","For much of the period since Election Day, the billionaire has been staying at a $2,000-a-night cottage at Mar-a-Lago, giving him easy access to the president-elect.",https://www.nytimes.com/2024/12/30/us/politics/elon-musk-trump-mar-a-lago.html,2024-12-30T20:10:54Z,"How Elon Musk Has Planted Himself Almost Literally at Trump’s Doorstep. For much of the period since Election Day, the billionaire has been staying at a $2,000-a-night cottage at Mar-a-Lago, giving him easy access to the president-elect.. For much of the period since Election Day, the billionaire has been staying at a $2,000-a-night cottage at Mar-a-Lago, giving him easy access to the president-elect.",0.31666666666666665
artificial intelligence,The New York Times,By Kevin Roose,The 2024 Good Tech Awards,"In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.","In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.",https://www.nytimes.com/2024/12/30/technology/good-tech-awards.html,2024-12-30T17:00:02Z,"The 2024 Good Tech Awards. In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.. In a year of continued A.I. progress, “founder mode” drama and a Trump election win, a few tech projects stood out for their clear benefits to humanity.",0.3
artificial intelligence,The New York Times,By Kaleigh Rogers and T.M. Detwiler,How Top Pollsters Grade 2024’s Polls,"Despite a pretty accurate year, the pre-election polls once again underestimated support for Donald Trump. Does that make it a successful polling cycle, or not?","Despite a pretty accurate year, the pre-election polls once again underestimated support for Donald Trump. Does that make it a successful polling cycle, or not?",https://www.nytimes.com/2024/12/30/us/elections/2024-polls-grades.html,2024-12-30T10:03:08Z,"How Top Pollsters Grade 2024’s Polls. Despite a pretty accurate year, the pre-election polls once again underestimated support for Donald Trump. Does that make it a successful polling cycle, or not?. Despite a pretty accurate year, the pre-election polls once again underestimated support for Donald Trump. Does that make it a successful polling cycle, or not?",0.4714285714285715
artificial intelligence,The New York Times,By Brian Seibert,"Bringing Modern Dance, Once Forbidden, to China","An oral history project, “Planting Seeds,” considers the history and impact of an American Dance Festival program to train dancers in China.","An oral history project, “Planting Seeds,” considers the history and impact of an American Dance Festival program to train dancers in China.",https://www.nytimes.com/2024/12/30/arts/dance/planting-seeds-oral-history-modern-dance-china.html,2024-12-30T10:01:24Z,"Bringing Modern Dance, Once Forbidden, to China. An oral history project, “Planting Seeds,” considers the history and impact of an American Dance Festival program to train dancers in China.. An oral history project, “Planting Seeds,” considers the history and impact of an American Dance Festival program to train dancers in China.",0.06666666666666667
artificial intelligence,The New York Times,By Benjamin Oreskes,Five Laws Going Into Effect for New York in 2025,"Changes are coming to paid sick leave, insulin costs, restaurant reservations, gym membership cancellations and protections for fashion industry workers.","Changes are coming to paid sick leave, insulin costs, restaurant reservations, gym membership cancellations and protections for fashion industry workers.",https://www.nytimes.com/2024/12/30/nyregion/ny-laws-2025-insulin-gym-membership.html,2024-12-30T08:00:15Z,"Five Laws Going Into Effect for New York in 2025. Changes are coming to paid sick leave, insulin costs, restaurant reservations, gym membership cancellations and protections for fashion industry workers.. Changes are coming to paid sick leave, insulin costs, restaurant reservations, gym membership cancellations and protections for fashion industry workers.",-0.4307359307359307
artificial intelligence,The New York Times,By Benjamin Oreskes,Democratic N.Y. Lawmakers Brace for Risks of a Trump Administration,"After President-elect Donald J. Trump’s gains in New York, lawmakers plan to focus on high costs and crime while safeguarding policies about immigration and abortion.","After President-elect Donald J. Trump’s gains in New York, lawmakers plan to focus on high costs and crime while safeguarding policies about immigration and abortion.",https://www.nytimes.com/2024/12/30/nyregion/trump-ny-legislature.html,2024-12-30T08:00:09Z,"Democratic N.Y. Lawmakers Brace for Risks of a Trump Administration. After President-elect Donald J. Trump’s gains in New York, lawmakers plan to focus on high costs and crime while safeguarding policies about immigration and abortion.. After President-elect Donald J. Trump’s gains in New York, lawmakers plan to focus on high costs and crime while safeguarding policies about immigration and abortion.",0.1481818181818182
artificial intelligence,The New York Times,By John Liu and Jack Healy,Arizona’s Tiny Taipei: How a Taiwanese Chip Factory Seeded a Community,"Taiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.","Taiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.",https://www.nytimes.com/2024/12/29/business/tsmc-phoenix-taiwan.html,2024-12-29T10:00:15Z,"Arizona’s Tiny Taipei: How a Taiwanese Chip Factory Seeded a Community. Taiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.. Taiwan Semiconductor Manufacturing Company, a global tech giant, brought thousands of workers from Asia to the Phoenix suburbs for jobs at a plant that the Biden administration helped fund.",0.0
artificial intelligence,The New York Times,By Eric Lipton,Departing Air Force Secretary Will Leave Space Weaponry as a Legacy,"Frank Kendall, who grew up on an apple farm and then rose to the pinnacle of the U.S. military, has preached the need for better preparation for the next big fight.","Frank Kendall, who grew up on an apple farm and then rose to the pinnacle of the U.S. military, has preached the need for better preparation for the next big fight.",https://www.nytimes.com/2024/12/29/us/politics/frank-kendall-air-force.html,2024-12-29T08:00:41Z,"Departing Air Force Secretary Will Leave Space Weaponry as a Legacy. Frank Kendall, who grew up on an apple farm and then rose to the pinnacle of the U.S. military, has preached the need for better preparation for the next big fight.. Frank Kendall, who grew up on an apple farm and then rose to the pinnacle of the U.S. military, has preached the need for better preparation for the next big fight.",0.2
artificial intelligence,The New York Times,By Steven Rattner,These 10 Charts Will Help You Understand 2024,Steven Rattner recaps a historic year in charts.,Steven Rattner recaps a historic year in charts.,https://www.nytimes.com/interactive/2024/12/29/opinion/year-in-charts-2024.html,2024-12-29T06:00:01Z,These 10 Charts Will Help You Understand 2024. Steven Rattner recaps a historic year in charts.. Steven Rattner recaps a historic year in charts.,0.0
